id,price,accommodates,bedrooms,number_of_reviews,room_type
547808655250589270,1979.0,6,3.0,95,Entire home/apt
669758663018059836,2036.0,4,2.0,54,Entire home/apt
50827223,999.0,5,2.0,31,Entire home/apt
1496674602439586989,373.0,3,1.0,1,Entire home/apt
52148157,850.0,2,1.0,92,Entire home/apt
1035636810321879956,1096.0,4,1.0,37,Private room
29701007,340.0,1,1.0,34,Entire home/apt
707743859404400612,2090.0,4,2.0,46,Entire home/apt
1284174831799120087,2327.0,6,3.0,10,Entire home/apt
31696070,840.0,2,1.0,78,Private room
1467799758127954515,452.0,1,1.0,0,Private room
823220702836920183,1292.0,2,1.0,12,Entire home/apt
807953006257910138,300.0,1,1.0,0,Private room
26501402,441.0,2,1.0,9,Private room
49083541,550.0,2,1.0,17,Entire home/apt
15955296,998.0,1,1.0,33,Private room
572566398118233481,1020.0,4,2.0,29,Entire home/apt
1480454057489175299,1143.0,2,1.0,0,Entire home/apt
37636797,372.0,2,1.0,195,Private room
22565880,272.0,2,1.0,29,Private room
50130650,1701.0,2,1.0,23,Private room
731440278791660894,3500.0,8,4.0,6,Entire home/apt
1487891314316874768,851.0,1,1.0,0,Private room
1081801734742525920,1296.0,2,1.0,13,Entire home/apt
41072332,582.0,2,1.0,6,Private room
46796540,3235.0,3,2.0,8,Entire home/apt
925515484554911007,2403.0,7,3.0,57,Entire home/apt
46690496,330.0,1,1.0,6,Private room
831014341304628506,2500.0,3,1.0,18,Entire home/apt
1392439452664312496,2028.0,4,2.0,16,Entire home/apt
842386820616716735,952.0,6,2.0,1,Entire home/apt
1274029009963281167,509.0,2,1.0,9,Private room
998706878383993348,797.0,2,1.0,18,Entire home/apt
862412406371983156,1593.0,6,3.0,77,Entire home/apt
1308507700479261732,355.0,12,10.0,0,Private room
1192109419712026503,1877.0,3,1.0,39,Entire home/apt
1344501312769550918,3566.0,6,2.0,0,Entire home/apt
21695250,5000.0,2,2.0,0,Entire home/apt
766215574062569430,740.0,1,1.0,0,Private room
1229185325309437682,585.0,2,1.0,11,Private room
1304864123363048029,280.0,1,1.0,0,Shared room
1452432551060591398,2918.0,2,1.0,0,Entire home/apt
575518139566948919,344.0,1,1.0,15,Private room
32564699,1111.0,7,4.0,113,Entire home/apt
1003585985328287543,995.0,2,1.0,43,Entire home/apt
36000479,1330.0,4,2.0,6,Entire home/apt
42114780,1001.0,4,1.0,143,Entire home/apt
13653458,1047.0,2,1.0,416,Entire home/apt
48123905,1050.0,3,1.0,179,Private room
41483170,1511.0,5,2.0,21,Entire home/apt
1182105570686310182,468.0,2,1.0,16,Entire home/apt
948739327388165222,405.0,3,1.0,56,Entire home/apt
1481474527233420221,1080.0,6,2.0,5,Entire home/apt
671948453419537360,569.0,3,1.0,122,Entire home/apt
37241518,1069.0,5,2.0,75,Entire home/apt
54139529,1119.0,3,1.0,42,Entire home/apt
1379869661866091427,1491.0,2,1.0,3,Entire home/apt
823185713148101290,1077.0,3,2.0,20,Entire home/apt
1220908193954843420,1177.0,3,1.0,23,Entire home/apt
1500370578091142325,1429.0,3,1.0,1,Entire home/apt
1304877209649114670,280.0,1,1.0,0,Shared room
1473452361546998570,2136.0,2,1.0,6,Entire home/apt
669762784827810905,2014.0,4,2.0,207,Entire home/apt
32994453,388.0,1,1.0,59,Private room
45690607,407.0,2,1.0,280,Private room
17791988,3088.0,1,1.0,0,Private room
1073174410173277566,1131.0,4,2.0,44,Entire home/apt
888499590449290770,850.0,3,1.0,7,Entire home/apt
40779179,1212.0,2,1.0,83,Entire home/apt
834199682269391254,1377.0,9,3.0,32,Entire home/apt
32311828,280.0,1,1.0,18,Private room
731380879534372191,1073.0,5,2.0,122,Entire home/apt
17575470,1058.0,4,2.0,138,Entire home/apt
1371416941896881166,1688.0,4,1.0,1,Private room
531810038964588545,898.0,2,1.0,138,Entire home/apt
1393005801416782031,656.0,1,1.0,0,Private room
843426264633976802,3143.0,2,1.0,1,Private room
33023608,1247.0,4,2.0,81,Entire home/apt
1107367817473479375,2013.0,2,1.0,0,Entire home/apt
21931082,829.0,6,2.0,507,Entire home/apt
36516259,2994.0,2,1.0,168,Entire home/apt
1081995873218701642,2183.0,6,3.0,19,Entire home/apt
45237804,11371.0,14,6.0,1,Entire home/apt
16298031,1245.0,5,2.0,77,Entire home/apt
1330469829961295914,1753.0,2,1.0,1,Entire home/apt
53495688,2052.0,7,3.0,135,Entire home/apt
1501076224519874933,1884.0,2,1.0,0,Private room
989085256174749137,1317.0,4,2.0,74,Entire home/apt
1200592962846587423,2511.0,4,2.0,37,Entire home/apt
34057222,672.0,4,1.0,336,Entire home/apt
34448463,864.0,3,1.0,12,Entire home/apt
47884367,744.0,4,1.0,147,Entire home/apt
811790491069996677,1457.0,6,3.0,20,Entire home/apt
1075596440961565637,711.0,2,1.0,41,Private room
797312372091808264,1550.0,4,2.0,19,Entire home/apt
18040481,796.0,2,1.0,293,Private room
1472006060135099831,321.0,1,1.0,3,Shared room
37555455,2382.0,2,1.0,47,Entire home/apt
1211118482286958898,410.0,1,1.0,11,Private room
849904007033197750,495.0,2,1.0,0,Private room
1441541017377425694,1300.0,2,1.0,0,Private room
784251889717301577,1592.0,5,2.0,247,Entire home/apt
20918346,436.0,1,1.0,36,Entire home/apt
1069471972154521625,816.0,3,1.0,95,Entire home/apt
1105415711700041104,990.0,2,1.0,4,Entire home/apt
1328476105635752513,882.0,1,1.0,2,Entire home/apt
1190867270619651210,800.0,4,1.0,6,Private room
704412985837516273,864.0,2,1.0,136,Private room
1242465902168111791,600.0,1,1.0,0,Private room
691309950827928332,1305.0,2,1.0,1,Entire home/apt
877001403322914497,353.0,2,1.0,26,Private room
847197525877442235,460.0,1,1.0,131,Private room
5632011,4853.0,1,1.0,104,Private room
37809949,1580.0,6,3.0,173,Entire home/apt
39773706,950.0,3,1.0,21,Entire home/apt
910859153551768657,2409.0,4,2.0,55,Entire home/apt
14186060,190.0,2,2.0,107,Private room
50293389,447.0,6,2.0,148,Entire home/apt
23884039,2079.0,6,3.0,118,Entire home/apt
17589503,2126.0,2,1.0,3,Entire home/apt
942048629338880807,762.0,2,1.0,3,Entire home/apt
1456084089766405254,440.0,1,1.0,4,Private room
1228662306627387897,343.0,2,1.0,0,Private room
21503313,1412.0,2,1.0,281,Entire home/apt
786183782329360575,1011.0,2,1.0,0,Private room
1279166410234379789,1800.0,6,2.0,0,Private room
1513364737005991770,1068.0,3,1.0,0,Entire home/apt
45000058,1277.0,2,1.0,16,Entire home/apt
48897077,576.0,2,1.0,4,Entire home/apt
7842592,1270.0,2,1.0,116,Entire home/apt
1285875802415633966,2189.0,7,1.0,0,Private room
1150804202082848270,1237.0,2,1.0,19,Entire home/apt
1150811973585395138,1527.0,4,2.0,5,Entire home/apt
17795825,522.0,2,1.0,78,Private room
1181233833531656903,817.0,3,0.0,0,Entire home/apt
726014593799192829,1310.0,2,1.0,84,Entire home/apt
47890322,230.0,3,2.0,0,Entire home/apt
25506575,300.0,1,2.0,62,Private room
13683964,2315.0,4,2.0,35,Entire home/apt
1163997522880398274,1600.0,2,1.0,0,Entire home/apt
1103837933304957944,503.0,2,1.0,4,Private room
897413527740671593,1037.0,2,1.0,96,Entire home/apt
1461753470741280776,459.0,1,1.0,10,Private room
686368959157773079,1066.0,3,1.0,302,Entire home/apt
1442940563756692557,4368.0,4,2.0,1,Entire home/apt
1353831775089549997,1336.0,6,2.0,0,Entire home/apt
39206869,232.0,1,1.0,1,Private room
53392734,1620.0,2,1.0,3,Private room
1070307459348295659,1115.0,4,2.0,74,Entire home/apt
1514775638799935741,2614.0,5,3.0,0,Entire home/apt
780612592789232677,1665.0,3,1.0,137,Entire home/apt
39729591,1150.0,4,2.0,11,Entire home/apt
3049887,1149.0,2,1.0,73,Entire home/apt
715157003172702428,1731.0,4,2.0,4,Entire home/apt
1502325911235989479,563.0,2,1.0,3,Entire home/apt
